name,final_adoption
0_11_2_2_2,1.217608495603247e-13
0_11_2_2_3,4.349664272585047e-06
0_11_2_3_0,1.0377558535119434e-12
0_11_2_3_1,6.771912404600543e-08
0_11_2_3_2,3.922673528238257e-09
0_11_2_3_3,1.1342043891643894e-06
0_11_3_0_0,4.0315202976375183e-07
0_11_3_0_1,3.9583789958193815e-19
0_11_3_0_2,0.0012011989962218926
0_11_3_0_3,0.00027470330329872674
0_11_3_1_0,3.849762371296911e-12
0_11_3_1_1,6.188548126742177e-14
0_11_3_1_2,1.8821210385978533e-13
0_11_3_1_3,1.1644518901341182e-09
0_11_3_2_0,8.313700985243645e-11
0_11_3_2_1,4.904177803233281e-10
0_11_3_2_2,3.659371340318523e-11
0_11_3_2_3,1.7191667257250055e-05
0_11_3_3_0,4.566237922948381e-10
0_11_3_3_1,7.756305084121762e-07
0_11_3_3_2,5.8118524567993695e-09
0_11_3_3_3,4.3714137304065655e-06
0_11_4_0_0,3.856014940488135e-07
0_11_4_0_1,5.2948403279181646e-09
0_11_4_0_2,4.6467507925239964e-11
0_11_4_0_3,3.041595115968273e-11
0_11_4_1_0,9.011343312940199e-10
0_11_4_1_1,6.279225574110812e-09
0_11_4_1_2,1.439158039103785e-09
0_11_4_1_3,1.6249872563318594e-07
0_11_4_2_0,1.1968817312587537e-07
0_11_4_2_1,2.5391469664779885e-08
0_11_4_2_2,7.822583289519813e-09
0_11_4_2_3,1.1776370669220107e-05
0_11_4_3_0,3.594239365707925e-09
0_11_4_3_1,2.7239491657836823e-06
0_11_4_3_2,3.3811499615089413e-08
0_11_4_3_3,1.6604372321750273e-06
0_11_5_0_0,8.725407218252984e-37
0_11_5_0_1,0.009211880132237702
0_11_5_0_2,0.004046120454487921
0_11_5_0_3,0.0024480192427115133
0_11_5_1_0,3.0308447386360335e-05
0_11_5_1_1,3.9959255115233007e-07
0_11_5_1_2,4.318949239886386e-08
0_11_5_1_3,4.130743645988273e-06
0_11_5_2_0,0.0009042432430475484
0_11_5_2_1,3.678552395719286e-07
0_11_5_2_2,8.632294880216717e-06
0_11_5_2_3,2.32018435625429e-05
0_11_5_3_0,1.0375846744974062e-06
0_11_5_3_1,1.5867475255490506e-05
0_11_5_3_2,2.9317172616722228e-06
0_11_5_3_3,4.30061251759263e-06
0_11_6_0_0,0.002565460152977968
0_11_6_0_1,0.03227264126172891
0_11_6_0_2,0.009563672477899129
0_11_6_0_3,0.0002562184732441937
0_11_6_1_0,0.00594540965921498
0_11_6_1_1,0.0001613241783598024
0_11_6_1_2,0.0003122604156324931
0_11_6_1_3,0.0004894885713665972
0_11_6_2_0,0.002308822426769208
0_11_6_2_1,0.0048397861705887744
0_11_6_2_2,0.0006275417291772443
0_11_6_2_3,0.00031261561110047743
0_11_6_3_0,0.005525740069717188
0_11_6_3_1,0.0012317115358958255
0_11_6_3_2,0.0003109354271043901
0_11_6_3_3,0.0005580644411455199
0_11_7_0_0,0.13863566275420294
0_11_7_0_1,0.20081087591389596
0_11_7_0_2,0.11892236978871723
0_11_7_0_3,0.12665223839330172
0_11_7_1_0,0.06631480020848818
0_11_7_1_1,0.03366039990708825
0_11_7_1_2,0.04182563289534968
0_11_7_1_3,0.05312294249576184
0_11_7_2_0,0.056989334812463786
0_11_7_2_1,0.05190912386427382
0_11_7_2_2,0.05660275960569087
0_11_7_2_3,0.045670354006877786
0_11_7_3_0,0.09895588388080709
0_11_7_3_1,0.08496997980004525
0_11_7_3_2,0.061333252097075526
0_11_7_3_3,0.057897282592321284
0_11_8_0_0,0.7975605444335842
0_11_8_0_1,0.800439173488909
0_11_8_0_2,0.8693197957829092
0_11_8_0_3,0.8987266725269988
0_11_8_1_0,0.8556511019180123
0_11_8_1_1,0.7023124603646878
0_11_8_1_2,0.8315941697969059
0_11_8_1_3,0.7600887046399566
0_11_8_2_0,0.7711209696374628
0_11_8_2_1,0.8219908155176074
0_11_8_2_2,0.7881226870299898
0_11_8_2_3,0.7894586445674154
0_11_8_3_0,0.8395678208257875
